date,xauusd,btc_usd,dxy,us10y,oil,usdirr_free,usdt_irt,geram18_rial,geram24_rial,emami_rial,nim_rial,rob_rial,btc_irt,geram18_premium_pct,usdt_premium_pct,sekee_bubble_pct
2026-09-04,4477.2002,79685.0078,99.157,0.4784,91.22,2202600.0,,228348000.0,304461000.0,2339800000.0,1200000000.0,660000000.0,,-3.9709,,4.9861
2026-09-05,4429.7998,79800.6797,99.16,0.4784,91.48,2232600.0,,235195000.0,313591000.0,2349800000.0,1190000000.0,650000000.0,,-1.3764,,2.3654
2026-09-06,4476.6001,79952.6406,99.16,0.4784,91.48,2232600.0,,235195000.0,313591000.0,2349800000.0,1190000000.0,650000000.0,,-2.4074,,2.3654
